id,theta,E,ra,dec
122261427401,38.04,57.3376,122.55,1.66
73145618700,76.746,57.2353,58.2864,38.3421
72955799900,56.65,57.2325,39.43,19.48
170992405200,67.2543,57.1733,66.9587,29.8821
171403748300,33.51,57.1726,149.85,-68.47
180041118900,57.06,56.9709,221.82,7.63
90350998200,52.81,56.9174,226.22,-85.12
130118134600,17.23,56.8282,217.29,-24.49
131427823500,7.61,56.801,308.49,-36.02
113335936800,49.74,56.7763,103.87,0.44
81847956000,53.79,56.7531,32.99,11.02
112457198500,10.19,56.7395,41.79,-42.77
102043892900,38.84,56.6854,180.23,-11.59
80523660200,31.54,56.6036,82.76,-15.97
53031146400,31.84,56.568,184.96,-66.2
121273651600,19.28,56.3448,131.5,-16.17
150116036600,36.72,56.3014,149.91,-17.38
103471373600,24.83,56.2688,231.93,-56.83
153373751501,43.52,56.1765,23.51,-16.3
170698465700,12.62,56.137,285.29,-28.71
171398247800,23.88,56.1004,344.24,-57.8
41775631900,71.4892,56.0981,11.4316,-56.5795
162397303000,34.84,56.0724,70.48,-25.83
113428088900,3.45,56.0269,169.2,-36.88
111131386800,71.4425,56.0185,293.856,-27.6691
141457731200,19.04,56.0152,335.25,-48.65
110350553700,71.4701,55.9914,184.163,-24.6227
141306842700,28.87,55.9773,300.58,-35.65
82120264700,7.67,55.8946,62.44,-39.99
92128288501,52.74,55.8594,122.77,-78.64
102977824600,4.63,55.8427,115.52,-36.68
90078442400,59.08,55.7508,286.07,-37.76
71613216100,41.89,55.7395,137.32,6.15
71663820600,79.5845,55.6696,244.56,8.46274
60693279900,76.7612,55.6252,20.813,34.1941
61328566600,20.14,55.611,3.54,-35.71
172707441200,36.47,55.6109,114.32,-43.32
100244685700,73.5571,55.5753,95.9378,34.2675
180688442800,63.2838,55.5613,230.023,14.9984
121935663301,65.4661,55.5572,341.606,-6.48849
131326147200,59.39,55.5137,357.71,-81.04
133190914600,62.0424,55.3496,283.255,-37.5125
73390068800,68.1405,55.3456,248.984,1.75999
110904417100,18.97,55.3061,129.56,-16.89
102056821200,47.47,55.2467,315.89,-82.11
121544119600,65.7184,55.2299,35.6412,-75.951
53008456900,10.87,55.2138,141.46,-24.51
182054968300,51.93,55.1944,208.35,-12.59
132572666000,39.4,55.1722,172.43,-65.72
133641941700,60.1861,55.104,197.55,-63.9524
151336414100,24.86,55.0914,259.14,-11.97
70148353200,55.8,55.0757,192.68,17.18
101944143000,70.8723,54.986,275.931,6.73165
130704605400,41.92,54.9539,154.36,-15.74
160806752900,26.19,54.9463,179.02,-34.18
50828088800,75.5183,54.9288,339.391,3.36878
151300291300,24.67,54.9019,19.87,-46.65
81986616700,8.43,54.8918,324.48,-27.2
180261097600,49.71,54.8853,252.8,5.91
52640742500,27.22,54.8508,146.21,-8.38
152691828300,35.11,54.7449,203.9,-69.97
